,time,appv,current,status,power
338,338,0.7308363661140809,0.0010634954178753446,+v,0.0007772411265789928
339,339,0.7128052193506943,0.0009104755484899295,+v,0.0006489917230548079
340,340,0.6928203230275523,0.0007549601289081344,+v,0.0005230517203830562
341,341,0.6709364543563405,0.0005973754160856024,+v,0.00040080094358811773
342,342,0.6472135954999593,0.00043815333876692124,+v,0.0002835787977636508
343,343,0.6217167691655779,0.0002777303135989116,+v,0.0001726695932700581
344,344,0.5945158603819165,0.00011654604894295751,+v,6.928847456143533e-05
345,345,0.565685424949239,-4.495766033505788e-05,+v,-2.5431893191360762e-05
346,346,0.5353044850870874,-0.00020633814379376525,+v,-0.0001104537338173469
347,347,0.5034563128398707,-0.0003671530687452154,+v,-0.00018484553023830972
348,348,0.47022820183397906,-0.0005269616526580348,+v,-0.0002477922303648495
349,349,0.43571122801202206,-0.0006853258713117007,+v,-0.0002986041769776301
350,350,0.4000000000000002,-0.0008418116593904814,+v,-0.0003367246637561927
351,351,0.3631923997916374,-0.0009959901002262962,+v,-0.000361736034669902
352,352,0.32538931446064256,-0.0011474386014294704,+v,-0.00037336425990481387
353,353,0.2866943596362424,-0.001295742053185169,+v,-0.000371481938191672
354,354,0.24721359549995992,-0.0014404939660404396,+v,-0.00035610969264085425
355,355,0.20705523608201842,-0.0015812975850636188,+v,-0.0003274159447912732
356,356,0.16632935265420906,-0.0017177669773220025,+v,-0.0002857150693487461
357,357,0.12514757203218607,-0.0018495280896971883,+v,-0.00023146394983093038
358,358,0.08362277061412393,-0.0019762197741386724,+v,-0.000165256972855894
359,359,0.04186876499435599,-0.002097494777545552,+v,-8.781951591794371e-05
360,360,6.858022075225179e-16,-0.0022130206935631383,+v,-1.5176944769386138e-18
361,361,-0.04186876499435462,-0.0023224808736856664,-v,9.723940590422857e-05
362,362,-0.08362277061412257,-0.0024255752951678417,-v,0.00020283332651510307
363,363,-0.1251475720321847,-0.00252202138336633,-v,0.0003156248527415479
364,364,-0.16632935265420495,-0.002611554786257192,-v,0.0004343782170191493
365,365,-0.20705523608201434,-0.0026939300990064833,-v,0.0005577923326382317
366,366,-0.24721359549995592,-0.002768921536607731,-v,0.00068451504872206
367,367,-0.2866943596362385,-0.0028363235527430193,-v,0.0008131579646748409
368,368,-0.3253893144606387,-0.0028959514031711383,-v,0.0009423116417891813
369,369,-0.3631923997916362,-0.00294764165209871,-v,0.0010705610453515138
370,370,-0.399999999999999,-0.0029912526201463373,-v,0.001196501048058532
371,371,-0.4357112280120209,-0.0030266647726819302,-v,0.0013187518248859679
372,372,-0.470228201833978,-0.003053781047456831,-v,0.0014359739707403077
373,373,-0.5034563128398697,-0.003072527120646684,-v,0.001546883175261281
374,374,-0.5353044850870864,-0.003082851610567874,-v,0.0016502642939949309
375,375,-0.5656854249492381,-0.0030847262185111544,-v,0.0017449846617705387
376,376,-0.5945158603819136,-0.0030781458063064188,-v,0.0018300065024172399
377,377,-0.6217167691655753,-0.003063128410406132,-v,0.0019043982988569846
378,378,-0.6472135954999567,-0.0030397151924485763,-v,0.001967344999000486
379,379,-0.6709364543563382,-0.0030079703264367257,-v,0.002018156945628534
380,380,-0.6928203230275501,-0.0029679808228417455,-v,0.0020562774324207923
381,381,-0.7128052193506936,-0.0029198562901133385,-v,0.002081288803346741
382,382,-0.7308363661140803,-0.0028637286342506063,-v,0.002092917028592551
383,383,-0.7468643411977611,-0.0027997516972568712,-v,0.0020910347068890667
384,384,-0.7608452130361227,-0.0027281008354694382,-v,0.002075662461346769
385,385,-0.7727406610312545,-0.0026489724389200677,-v,0.0020469687135046674
386,386,-0.7825180805870445,-0.0025625833930435467,-v,0.002005267838068672
387,387,-0.7901506724761098,-0.00246917048420978,-v,0.0019510167185565195
388,388,-0.7956175162946184,-0.002368989750708828,-v,0.0018848097415863651
389,389,-0.798903627803659,-0.0022623157809677297,-v,0.0018073722846525873
390,390,-0.8,-0.002149440960922722,-v,0.0017195527687381776
391,391,-0.7989036278036592,-0.002030674672609707,-v,0.0016223133628369031
392,392,-0.7956175162946189,-0.0019063424461696044,-v,0.0015167194422284688
393,393,-0.7901506724761105,-0.0017767850675928535,-v,0.0014039279160040045
394,394,-0.7825180805870448,-0.0016423576446487045,-v,0.001285174551727964
395,395,-0.7727406610312549,-0.001503428633559508,-v,0.0011617604361100905
396,396,-0.7608452130361232,-0.001360378829087818,-v,0.0010350377200271526
397,397,-0.7468643411977616,-0.0012136003208044162,-v,0.0009063948040749824
398,398,-0.7308363661140809,-0.0010634954183980575,-v,0.0007772411269610104
399,399,-0.7128052193506956,-0.0009104755489725766,-v,0.0006489917233988425
400,400,-0.6928203230275523,-0.0007549601293537691,-v,0.0005230517206918009
401,401,-0.6709364543563406,-0.0005973754164970734,-v,0.00040080094386418867
402,402,-0.6472135954999593,-0.0004381533391468447,-v,0.00028357879800954244
403,403,-0.6217167691655779,-0.000277730313949708,-v,0.0001726695934881541
404,404,-0.5945158603819166,-0.00011654604926686077,-v,6.928847475400097e-05
405,405,-0.565685424949239,4.4957660035988216e-05,-v,-2.5431893022181415e-05
406,406,-0.5353044850870875,0.00020633814351762379,-v,-0.00011045373366952716
407,407,-0.5034563128398707,0.0003671530684902453,-v,-0.0001848455301099434
408,408,-0.4702282018339792,0.0005269616524226123,-v,-0.00024779223025414733
409,409,-0.4357112280120221,0.0006853258710943275,-v,-0.0002986041768829182
410,410,-0.4000000000000003,0.0008418116591897727,-v,-0.0003367246636759093
411,411,-0.36319239979164003,0.000995990100040959,-v,-0.00036173603460259155
412,412,-0.3253893144606426,0.0011474386012583586,-v,-0.00037336425984913597
413,413,-0.2866943596362425,0.0012957420530271759,-v,-0.0003714819381463764
414,414,-0.24721359549996005,0.0014404939658945592,-v,-0.0003561096926047908
415,415,-0.2070552360820185,0.0015812975849289227,-v,-0.0003274159447633838
416,416,-0.16632935265420917,0.0017177669771976333,-v,-0.00028571506932806003
417,417,-0.12514757203218616,0.001849528089582354,-v,-0.00023146394981655928
418,418,-0.08362277061412403,0.001976219774032642,-v,-0.00016525697284702767
419,419,-0.041868764994356086,0.002097494777447651,-v,-8.781951591384492e-05
420,420,-7.837739514543061e-16,0.0022130206934727428,-v,-1.7345079735732803e-18
421,421,0.04186876499435452,0.0023224808736022015,+v,9.723940590073376e-05
422,422,0.08362277061412247,0.0024255752950907757,+v,0.00020283332650865838
423,423,0.12514757203218183,0.0025220213832951536,+v,0.00031562485273263307
424,424,0.16632935265420487,0.0026115547861914907,+v,0.00043437821700822104
425,425,0.20705523608201426,0.0026939300989458196,+v,0.0005577923326256707
426,426,0.24721359549995583,0.0027689215365517177,+v,0.0006845150487082125
427,427,0.28669435963623835,0.0028363235526913002,+v,0.0008131579646600129
428,428,0.32538931446063857,0.0028959514031233844,+v,0.0009423116417736424
429,429,0.3631923997916361,0.0029476416520546177,+v,0.0010705610453354995
430,430,0.3999999999999989,0.002991252620105625,+v,0.0011965010480422468
431,431,0.4357112280120208,0.0030266647726443397,+v,0.0013187518248695888
432,432,0.4702282018339779,0.0030537810474221224,+v,0.0014359739707239861
433,433,0.5034563128398696,0.003072527120614636,+v,0.0015468831752451459
434,434,0.5353044850870864,0.0030828516105382837,+v,0.0016502642939790909
435,435,0.5656854249492359,0.003084726218483818,+v,0.0017449846617550683
436,436,0.5945158603819136,0.003078145806281193,+v,0.0018300065024022425
437,437,0.6217167691655752,0.0030631284103828393,+v,0.001904398298842503
438,438,0.6472135954999567,0.00303971519242707,+v,0.001967344998986567
439,439,0.6709364543563382,0.0030079703264168684,+v,0.002018156945615211
440,440,0.69282032302755,0.0029679808228234095,+v,0.0020562774324080885
441,441,0.7128052193506936,0.0029198562900964093,+v,0.0020812888033346737
442,442,0.7308363661140802,0.002863728634234975,+v,0.002092917028581127
443,443,0.7468643411977611,0.0027997516972424383,+v,0.002091034706878287
444,444,0.7608452130361227,0.002728100835456112,+v,0.00207566246133663
445,445,0.7727406610312545,0.0026489724389077633,+v,0.0020469687134951594
446,446,0.7825180805870445,0.0025625833930321856,+v,0.002005267838059782
447,447,0.7901506724761097,0.002469170484199289,+v,0.0019510167185482295
448,448,0.7956175162946184,0.0023689897506991428,+v,0.0018848097415786593
449,449,0.798903627803659,0.0022623157809587863,+v,0.0018073722846454424
450,450,0.8,0.002149440960914464,+v,0.0017195527687315715
451,451,0.7989036278036593,0.002030674672602083,+v,0.0016223133628308123
452,452,0.795617516294619,0.0019063424461625658,+v,0.001516719442222869
453,453,0.7901506724761105,0.0017767850675863535,+v,0.0014039279159988687
454,454,0.7825180805870449,0.0016423576446427035,+v,0.0012851745517232682
455,455,0.7727406610312549,0.0015034286335539658,+v,0.001161760436105808
456,456,0.7608452130361232,0.0013603788290827005,+v,0.001035037720023259
457,457,0.7468643411977616,0.0012136003207996904,+v,0.0009063948040714529
458,458,0.7308363661140809,0.0010634954183936943,+v,0.0007772411269578216
459,459,0.7128052193506957,0.0009104755489685488,+v,0.0006489917233959715
460,460,0.6928203230275524,0.0007549601293500499,+v,0.0005230517206892243
461,461,0.6709364543563406,0.0005973754164936383,+v,0.0004008009438618839
462,462,0.6472135954999594,0.0004381533391436732,+v,0.00028357879800748983
463,463,0.621716769165578,0.00027773031394678086,+v,0.00017266959348633427
464,464,0.5945158603819166,0.00011654604926415625,+v,6.92884747523931e-05
465,465,0.5656854249492391,-4.495766003848431e-05,+v,-2.5431893023593422e-05
466,466,0.5353044850870876,-0.0002063381435199285,+v,-0.00011045373367076091
467,467,0.5034563128398708,-0.00036715306849237356,+v,-0.00018484553011101492
468,468,0.47022820183397923,-0.000526961652424577,+v,-0.0002477922302550712
469,469,0.4357112280120222,-0.0006853258710961407,+v,-0.0002986041768837083
470,470,0.40000000000000036,-0.0008418116591914479,+v,-0.00033672466367657946
471,471,0.36319239979164014,-0.000995990100042505,+v,-0.00036173603460315317
472,472,0.32538931446064273,-0.0011474386012597863,+v,-0.00037336425984960066
473,473,0.28669435963624257,-0.0012957420530284945,+v,-0.00037148193814675446
474,474,0.24721359549996014,-0.001440493965895776,+v,-0.00035610969260509173
475,475,0.2070552360820186,-0.0015812975849300468,+v,-0.0003274159447636167
476,476,0.16632935265420926,-0.0017177669771986706,+v,-0.00028571506932823274
477,477,0.12514757203218627,-0.0018495280895833117,+v,-0.00023146394981667936
478,478,0.08362277061412413,-0.001976219774033526,+v,-0.00016525697284710175
479,479,0.041868764994356183,-0.0020974947774484672,+v,-8.781951591387929e-05
480,480,8.817456953860943e-16,-0.0022130206934734965,+v,-1.9513214702706047e-18
481,481,-0.04186876499435442,-0.002322480873602897,-v,9.723940590076265e-05
482,482,-0.08362277061412238,-0.0024255752950914184,-v,0.0002028333265087119
483,483,-0.12514757203218171,-0.002522021383295747,-v,0.00031562485273270706
484,484,-0.16632935265420476,-0.002611554786192039,-v,0.00043437821700831195
485,485,-0.20705523608201415,-0.002693930098946325,-v,0.000557792332625775
486,486,-0.24721359549995575,-0.002768921536552185,-v,0.0006845150487083279
487,487,-0.2866943596362383,-0.0028363235526917318,-v,0.0008131579646601364
488,488,-0.3253893144606385,-0.002895951403123783,-v,0.000942311641773772
489,489,-0.363192399791636,-0.0029476416520549855,-v,0.0010705610453356326
490,490,-0.3999999999999988,-0.002991252620105964,-v,0.0011965010480423821
491,491,-0.4357112280120207,-0.003026664772644653,-v,0.0013187518248697254
492,492,-0.47022820183397784,-0.003053781047422412,-v,0.0014359739707241223
493,493,-0.5034563128398695,-0.0030725271206149033,-v,0.00154688317524528
494,494,-0.5353044850870863,-0.0030828516105385305,-v,0.0016502642939792227
495,495,-0.5656854249492359,-0.0030847262184840467,-v,0.0017449846617551975
496,496,-0.5945158603819135,-0.0030781458062814028,-v,0.001830006502402367
497,497,-0.6217167691655752,-0.003063128410383034,-v,0.001904398298842624
498,498,-0.6472135954999566,-0.003039715192427249,-v,0.001967344998986682
499,499,-0.6709364543563381,-0.003007970326417034,-v,0.002018156945615322
500,500,-0.69282032302755,-0.002967980822823563,-v,0.0020562774324081948
501,501,-0.7128052193506935,-0.0029198562900965503,-v,0.002081288803334774
502,502,-0.7308363661140802,-0.002863728634235106,-v,0.002092917028581223
503,503,-0.746864341197761,-0.0027997516972425585,-v,0.002091034706878377
504,504,-0.7608452130361226,-0.002728100835456224,-v,0.0020756624613367147
505,505,-0.7727406610312545,-0.0026489724389078665,-v,0.002046968713495239
506,506,-0.7825180805870444,-0.00256258339303228,-v,0.0020052678380598557
507,507,-0.7901506724761097,-0.0024691704841993773,-v,0.0019510167185482995
508,508,-0.7956175162946184,-0.0023689897506992234,-v,0.0018848097415787234
509,509,-0.798903627803659,-0.0022623157809588614,-v,0.0018073722846455023
510,510,-0.8,-0.0021494409609145327,-v,0.0017195527687316262
511,511,-0.7989036278036593,-0.002030674672602147,-v,0.0016223133628308632
512,512,-0.795617516294619,-0.001906342446162624,-v,0.0015167194422229153
513,513,-0.7901506724761105,-0.0017767850675864084,-v,0.001403927915998912
514,514,-0.7825180805870449,-0.0016423576446427538,-v,0.0012851745517233075
515,515,-0.7727406610312549,-0.0015034286335540124,-v,0.0011617604361058439
516,516,-0.7608452130361232,-0.0013603788290827434,-v,0.0010350377200232918
517,517,-0.7468643411977617,-0.0012136003207997312,-v,0.0009063948040714835
518,518,-0.7308363661140821,-0.0010634954183937385,-v,0.0007772411269578552
519,519,-0.7128052193506957,-0.0009104755489685821,-v,0.0006489917233959953
520,520,-0.6928203230275524,-0.000754960129350081,-v,0.0005230517206892459
521,521,-0.6709364543563408,-0.000597375416493668,-v,0.00040080094386190393
522,522,-0.6472135954999594,-0.0004381533391436998,-v,0.00028357879800750707
523,523,-0.621716769165578,-0.00027773031394680525,-v,0.00017266959348634944
524,524,-0.5945158603819166,-0.00011654604926417921,-v,6.928847475240674e-05
525,525,-0.5656854249492392,4.495766003846271e-05,-v,-2.543189302358121e-05
526,526,-0.5353044850870877,0.00020633814351990763,-v,-0.00011045373367074976
527,527,-0.5034563128398709,0.0003671530684923549,-v,-0.00018484553011100557
528,528,-0.47022820183397934,0.0005269616524245597,-v,-0.00024779223025506316
529,529,-0.43571122801202233,0.000685325871096125,-v,-0.00029860417688370154
530,530,-0.40000000000000285,0.0008418116591914173,-v,-0.0003367246636765693
531,531,-0.3631923997916402,0.0009959901000424927,-v,-0.0003617360346031487
